Phi[deg],Theta[deg],im(rEPhi)[mV],re(rEPhi)[mV],re(rETheta)[mV],im(rETheta)[mV]
60,0,5.22311,2.79867,-12.3745,-21.5491
61,0,5.5984,3.01421,-12.3238,-21.4546
62,0,5.97198,3.22883,-12.2693,-21.3537
63,0,6.34374,3.44246,-12.2111,-21.2462
64,0,6.71357,3.65505,-12.1491,-21.1322
65,0,7.08136,3.86653,-12.0835,-21.0118
66,0,7.44699,4.07682,-12.0142,-20.8851
67,0,7.81035,4.28588,-11.9412,-20.7519
68,0,8.17133,4.49363,-11.8646,-20.6124
69,0,8.52982,4.70001,-11.7843,-20.4667
70,0,8.88572,4.90496,-11.7005,-20.3147
71,0,9.2389,5.10841,-11.6131,-20.1565
72,0,9.58928,5.31031,-11.5222,-19.9922
73,0,9.93673,5.51059,-11.4278,-19.8218
74,0,10.2812,5.70919,-11.3298,-19.6454
75,0,10.6224,5.90606,-11.2285,-19.463
76,0,10.9605,6.10112,-11.1237,-19.2746
77,0,11.2952,6.29433,-11.0155,-19.0804
78,0,11.6265,6.48562,-10.904,-18.8804
79,0,11.9542,6.67493,-10.7891,-18.6746
80,0,12.2783,6.86221,-10.671,-18.4631
81,0,12.5987,7.0474,-10.5496,-18.246
82,0,12.9152,7.23044,-10.425,-18.0233
83,0,13.2278,7.41128,-10.2972,-17.7952
84,0,13.5363,7.58987,-10.1663,-17.5616
85,0,13.8408,7.76614,-10.0323,-17.3227
86,0,14.141,7.94004,-9.89526,-17.0785
87,0,14.4369,8.11153,-9.75518,-16.8291
88,0,14.7284,8.28055,-9.61212,-16.5746
89,0,15.0154,8.44704,-9.46615,-16.315
90,0,15.2979,8.61096,-9.31728,-16.0505
91,0,15.5757,8.77226,-9.16558,-15.7811
92,0,15.8487,8.93088,-9.01109,-15.5068
93,0,16.1169,9.08679,-8.85385,-15.2279
94,0,16.3802,9.23992,-8.69392,-14.9443
95,0,16.6386,9.39025,-8.53133,-14.6561
96,0,16.8918,9.53771,-8.36615,-14.3635
97,0,17.1399,9.68227,-8.19842,-14.0665
98,0,17.3828,9.82387,-8.02819,-13.7652
99,0,17.6204,9.96249,-7.85552,-13.4598
100,0,17.8526,10.0981,-7.68045,-13.1502
101,0,18.0794,10.2306,-7.50305,-12.8366
102,0,18.3007,10.36,-7.32336,-12.5191
103,0,18.5164,10.4862,-7.14144,-12.1978
104,0,18.7264,10.6092,-6.95734,-11.8728
105,0,18.9308,10.729,-6.77112,-11.5442
106,0,19.1294,10.8456,-6.58284,-11.2121
107,0,19.3221,10.9588,-6.39256,-10.8765
108,0,19.509,11.0687,-6.20033,-10.5376
109,0,19.69,11.1752,-6.00621,-10.1955
110,0,19.8649,11.2784,-5.81026,-9.85034
111,0,20.0338,11.378,-5.61254,-9.50215
112,0,20.1966,11.4743,-5.41311,-9.15107
113,0,20.3532,11.567,-5.21203,-8.79719
114,0,20.5036,11.6562,-5.00937,-8.44064
115,0,20.6478,11.7418,-4.80518,-8.08152
