"dL [mm]","R_wire [mm]","Freq [GHz]","re(Z(1,1)) []","im(Z(1,1)) []"
4.8,0.1,26.4833333333333,58.8045320896478,-22.751846570815
4.8,0.1,26.5,58.9356087711652,-22.4851023039664
4.8,0.1,26.5166666666667,59.066974365081,-22.2184565558175
4.8,0.1,26.5333333333333,59.1986295047474,-21.9519092690727
4.8,0.1,26.55,59.3305748250057,-21.6854603886188
4.8,0.1,26.5666666666667,59.46281096219,-21.4191098615311
4.8,0.1,26.5833333333333,59.5953385541308,-21.1528576370782
4.8,0.1,26.6,59.7281582401593,-20.8867036667277
4.8,0.1,26.6166666666667,59.8612706611108,-20.6206479041517
4.8,0.1,26.6333333333333,59.9946764593287,-20.3546903052325
4.8,0.1,26.65,60.1283762786686,-20.0888308280678
4.8,0.1,26.6666666666667,60.2623707645019,-19.8230694329769
4.8,0.1,26.6833333333333,60.3966605637199,-19.5574060825064
4.8,0.1,26.7,60.5312463247377,-19.2918407414353
4.8,0.1,26.7166666666667,60.6661286974979,-19.0263733767819
4.8,0.1,26.7333333333333,60.8013083334751,-18.761003957809
4.8,0.1,26.75,60.9367858856791,-18.4957324560302
4.8,0.1,26.7666666666667,61.0725620086595,-18.2305588452159
4.8,0.1,26.7833333333333,61.2086373585093,-17.9654831013992
4.8,0.1,26.8,61.3450125928692,-17.7005052028823
4.8,0.1,26.8166666666667,61.4816883709313,-17.4356251302427
4.8,0.1,26.8333333333333,61.6186653534432,-17.1708428663394
4.8,0.1,26.85,61.7559442027124,-16.9061583963193
4.8,0.1,26.8666666666667,61.8935255826095,-16.6415717076237
4.8,0.1,26.8833333333333,62.0314101585731,-16.3770827899946
4.8,0.1,26.9,62.1695985976137,-16.1126916354811
4.8,0.1,26.9166666666667,62.3080915683172,-15.8483982384468
4.8,0.1,26.9333333333333,62.4468897408496,-15.5842025955755
4.8,0.1,26.95,62.585993786961,-15.3201047058782
4.8,0.1,26.9666666666667,62.7254043799894,-15.0561045707006
4.8,0.1,26.9833333333333,62.8651221948651,-14.7922021937288
4.8,0.1,27,63.0051479081147,-14.5283975809971
4.8,0.1,27.0166666666667,63.1454821978654,-14.2646907408949
4.8,0.1,27.0333333333333,63.286125743849,-14.0010816841734
4.8,0.1,27.05,63.4270792274062,-13.7375704239527
4.8,0.1,27.0666666666667,63.5683433314904,-13.4741569757299
4.8,0.1,27.0833333333333,63.7099187406726,-13.210841357385
4.8,0.1,27.1,63.8518061411447,-12.9476235891894
4.8,0.1,27.1166666666667,63.9940062207247,-12.6845036938127
4.8,0.1,27.1333333333333,64.1365196688601,-12.4214816963303
4.8,0.1,27.15,64.2793471766324,-12.158557624231
4.8,0.1,27.1666666666667,64.4224894367615,-11.8957315074247
4.8,0.1,27.1833333333333,64.5659471436097,-11.6330033782498
4.8,0.1,27.2,64.7097209931863,-11.3703732714813
4.8,0.1,27.2166666666667,64.8538116831516,-11.1078412243385
4.8,0.1,27.2333333333333,64.9982199128209,-10.8454072764928
4.8,0.1,27.25,65.1429463831696,-10.583071470076
4.8,0.1,27.2666666666667,65.2879917968369,-10.3208338496878
4.8,0.1,27.2833333333333,65.4333568581299,-10.0586944624046
4.8,0.1,27.3,65.5790422730288,-9.79665335778716
4.8,0.1,27.3166666666667,65.7250487491902,-9.53471058788926
4.8,0.1,27.3333333333333,65.8713769959524,-9.27286620726575
4.8,0.1,27.35,66.0180277243389,-9.01112027298131
4.8,0.1,27.3666666666667,66.1650016470633,-8.74947284461873
4.8,0.1,27.3833333333333,66.3122994785335,-8.48792398428739
4.8,0.1,27.4,66.4599219348559,-8.22647375663244
4.8,0.1,27.4166666666667,66.6078697338403,-7.96512222884292
4.8,0.1,27.4333333333333,66.7561435950036,-7.70386947066104
4.8,0.1,27.45,66.9047442395748,-7.44271555439085
4.8,0.1,27.4666666666667,67.053672390499,-7.18166055490738
4.8,0.1,27.4833333333333,67.202928772442,-6.92070454966556
4.8,0.1,27.5,67.3525141117948,-6.65984761870953
4.8,0.1,27.5166666666667,67.5024291366778,-6.39908984468175
4.8,0.1,27.5333333333333,67.6526745769455,-6.13843131283239
4.8,0.1,27.55,67.8032511641907,-5.87787211102872
4.8,0.1,27.5666666666667,67.954159631749,-5.61741232976456
4.8,0.1,27.5833333333333,68.1054007147034,-5.35705206216991
4.8,0.1,27.6,68.2569751498889,-5.09679140402047
4.8,0.1,27.6166666666667,68.4088836758962,-4.83663045374778
4.8,0.1,27.6333333333333,68.5611270330773,-4.57656931244844
4.8,0.1,27.65,68.7137059635494,-4.3166080838944
4.8,0.1,27.6666666666667,68.8666212111988,-4.05674687454322
4.8,0.1,27.6833333333333,69.0198735216867,-3.79698579354749
4.8,0.1,27.7,69.1734636424526,-3.53732495276552
4.8,0.1,27.7166666666667,69.3273923227194,-3.27776446677171
4.8,0.1,27.7333333333333,69.4816603134976,-3.01830445286627
4.8,0.1,27.75,69.6362683675901,-2.7589450310864
4.8,0.1,27.7666666666667,69.7912172395963,-2.4996863242166
4.8,0.1,27.7833333333333,69.9465076859171,-2.24052845779891
4.8,0.1,27.8,70.1021404647592,-1.98147156014426
4.8,0.1,27.8166666666667,70.2581163361393,-1.72251576234312
4.8,0.1,27.8333333333333,70.4144360618894,-1.46366119827597
4.8,0.1,27.85,70.5711004056608,-1.20490800462499
4.8,0.1,27.8666666666667,70.7281101329285,-0.94625632088486
4.8,0.1,27.8833333333333,70.8854660109962,-0.687706289373817
4.8,0.1,27.9,71.0431688090006,-0.429258055245206
4.8,0.1,27.9166666666667,71.2012192979159,-0.170911766499007
4.8,0.1,27.9333333333333,71.3596182505585,0.0873324260071516
4.8,0.1,27.95,71.5183664415913,0.345474368545754
4.8,0.1,27.9666666666667,71.6774646475287,0.60351390450817
4.8,0.1,27.9833333333333,71.8369136467405,0.861450874392771
4.8,0.1,28,71.996714219457,1.11928511579265
4.8,0.1,28.0166666666667,72.1568671477734,1.37701646338405
4.8,0.1,28.0333333333333,72.3173732156543,1.63464474891407
4.8,0.1,28.05,72.478233208938,1.89216980118835
4.8,0.1,28.0666666666667,72.6394479153416,2.14959144605882
4.8,0.1,28.0833333333333,72.801018124465,2.40690950641138
4.8,0.1,28.1,72.9629446277958,2.66412380215313
4.8,0.1,28.1166666666667,73.1252282187137,2.92123415019987
4.8,0.1,28.1333333333333,73.2878696924949,3.17824036446325
4.8,0.1,28.15,73.4508698463171,3.43514225583807
4.8,0.1,28.1666666666667,73.6142294792633,3.69193963218903
4.8,0.1,28.1833333333333,73.7779493923269,3.94863229833793
4.8,0.1,28.2,73.9420303884163,4.20522005605021
4.8,0.1,28.2166666666667,74.1064732723587,4.46170270402188
4.8,0.1,28.2333333333333,74.2712788509053,4.71808003786588
4.8,0.1,28.25,74.4364479327356,4.97435185009862
4.8,0.1,28.2666666666667,74.6019813284618,5.23051793012643
4.8,0.1,28.2833333333333,74.7678798506332,5.48657806423156
4.8,0.1,28.3,74.9341443137412,5.74253203555856
4.8,0.1,28.3166666666667,75.100775534223,5.99837962409999
4.8,0.1,28.3333333333333,75.2677743304668,6.25412060668257
4.8,0.1,28.35,75.4351415228156,6.50975475695278
4.8,0.1,28.3666666666667,75.6028779335721,6.76528184536244
4.8,0.1,28.3833333333333,75.7709843870031,7.02070163915438
4.8,0.1,28.4,75.9394617093437,7.2760139023478
4.8,0.1,28.4166666666667,76.1083107288019,7.53121839572349
4.8,0.1,28.4333333333333,76.2775322755629,7.78631487680897
4.8,0.1,28.45,76.4471271817935,8.04130309986346
4.8,0.1,28.4666666666667,76.6170962816465,8.29618281586306
4.8,0.1,28.4833333333333,76.7874404112651,8.55095377248511
4.8,0.1,28.5,76.9581604087873,8.80561571409318
4.8,0.1,28.5166666666667,77.1292571143499,9.06016838172136
4.8,0.1,28.5333333333333,77.3007313700934,9.31461151305887
4.8,0.1,28.55,77.4725840201656,9.56894484243399
4.8,0.1,28.5666666666667,77.6448159107265,9.82316810079858
4.8,0.1,28.5833333333333,77.8174278899522,10.0772810157117
4.8,0.1,28.6,77.9904208080394,10.3312833113239
4.8,0.1,28.6166666666667,78.1637955172093,10.5851747083603
4.8,0.1,28.6333333333333,78.3375528717122,10.8389549241051
4.8,0.1,28.65,78.5116937278313,11.092623672384
4.8,0.1,28.6666666666667,78.6862189438875,11.3461806635484
4.8,0.1,28.6833333333333,78.8611293802424,11.5996256044581
4.8,0.1,28.7,79.0364258993039,11.8529581984646
4.8,0.1,28.7166666666667,79.2121093655291,12.1061781453936
4.8,0.1,28.7333333333333,79.388180645429,12.3592851415284
4.8,0.1,28.75,79.5646406075723,12.612278879592
4.8,0.1,28.7666666666667,79.7414901225896,12.8651590487296
4.8,0.1,28.7833333333333,79.9187300631773,13.1179253344914
4.8,0.1,28.8,80.0963613041016,13.3705774188144
4.8,0.1,28.8166666666667,80.2743847222025,13.6231149800045
4.8,0.1,28.8333333333333,80.4528011963976,13.8755376927183
